gameName,gameUrl,contentType,discount
Rabbids Invasion: The Interactive TV Show,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802555308D0,Xbox 360,80%
Raving Rabbids: Alive & Kicking,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80255530882,Xbox 360,80%
Red Faction: Guerrilla,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D8025451080D,Xbox 360,95%
Remember Me,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D8024343082F,Xbox 360,90%
Resident Evil,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80243430841,Xbox 360,90%
Resident Evil 0,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80243430842,Xbox 360,90%
Resident Evil 4,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D8024343081C,Xbox 360,90%
RESIDENT EVIL 5,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802434307D4,Xbox 360,90%
RESIDENT EVIL 6,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80243430819,Xbox 360,90%
RESIDENT EVIL REVELATIONS,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80243430833,Xbox 360,90%
Rise of the Tomb Raider,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80253510823,Xbox 360,80%
Risen 3 Titan Lords,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D8024B4D07FD,Xbox 360,75%
RISK,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80258411460,Xbox 360,80%
Risk Urban Assault,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80258411461,Xbox 360,80%
Rocket Riot,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802584108CC,Xbox 360,75%
Rotastic,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258410A75,Xbox 360,80%
Rush’N Attack,https://marketplace.xbox.com/en-US/Product/66acd000-77fe-1000-9115-d80258410819,Xbox 360,75%
Self-Defense Training Camp,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80255530889,Xbox 360,80%
Singularity,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802415607EF,Xbox 360,50%
Skyrim,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802425307E6,Xbox 360,85%
Sniper: Ghost Warrior,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802435907D1,Xbox 360,90%
Snipers,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802573607D2,Xbox 360,90%
Spare Parts,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80258410A7C,Xbox 360,90%
Star Raiders,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258410B3E,Xbox 360,80%
Street Fighter III: Third Strike Online Edition,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80258410B16,Xbox 360,90%
Street Fighter II’ HF,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802584107F4,Xbox 360,80%
STREET FIGHTER X TEKKEN,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D8024343080F,Xbox 360,90%
STRIDER,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802584113C7,Xbox 360,90%
Super Street Fighter II Turbo HD Remix,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802584108A4,Xbox 360,90%
The Book of Unwritten Tales 2,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802354807DE,Xbox 360,75%
The Escapists,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802464A07D1,Xbox 360,85%
The Evil Within,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802425307F4,Xbox 360,95%
The Fancy Pants Adventures,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258410A9F,Xbox 360,90%
The LEGO Movie Videogame,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80257520841,Xbox 360,75%
Thief,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80253510803,Xbox 360,85%
Tom Clancy’s Splinter Cell Chaos Theory,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802555308DB,Xbox 360,80%
Tomb Raider,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80253510802,Xbox 360,75%
Tornado Outbreak,https://marketplace.xbox.com/en-US/Product/66acd000-77fe-1000-9115-d8024b4e0806,Xbox 360,75%
Track & Field,https://marketplace.xbox.com/en-US/Product/66acd000-77fe-1000-9115-d8025841081b,Xbox 360,50%
Trials Fusion,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80258411401,Xbox 360,80%
Tropico 3,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D8024B5907D6,Xbox 360,65%
Tropico 5,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D8024B5907EA,Xbox 360,75%
Valiant Hearts: The Great War,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80258411428,Xbox 360,80%
Voodoo Dice,https://marketplace.xbox.com/en-US/Product/Voodoo-Dice/66ACD000-77FE-1000-9115-D80258410A52,Xbox 360,80%
Voodoo Dice (JP),https://marketplace.xbox.com/ja-jp/Product/Voodoo-Dice/66ACD000-77FE-1000-9115-D80258410A85,Xbox 360,80%
War World,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258410857,Xbox 360,80%
